userid,n_status,gender,neu
ff3b58883dacb5c2dbd83b3e0b8f0e6f,49,1,1.90
861957e6f5f77768ad85b497623688f9,31,0,3.35
2dc31ea483d5f518d4ca30d4e850e4a7,49,0,3.55
fabdbdf53562be91ebbabd5e185e01b7,215,0,3.25
441f67f698b2faa8c5eb8086723b7c3f,348,0,3.80
f8167259537c4036847d01793987c5ab,116,0,1.90
d3f0ddf6db92ab318bba5ea018a552e6,84,0,1.90
134ff762503939009e98fdddbcd2f6e3,135,1,1.95
74bcc8cc2711ff0ca8c366217ccd7e23,62,1,1.15
36c38dfbc46fdf3793c0e3899bae2b7f,16,0,2.55
9a9f3e802a37cd048ab5ef6782297817,43,0,2.47
f618bc0a98b5ec837ba8d1f74193bb2d,87,1,2.95
78a4c26da672fca4d9fd4bdeb88592e7,289,0,3.75
e9dd6322d8c6187a28e148cf511cb9bd,89,0,3.50
04f40666c6efdce4fd0db832f1d820d0,170,1,3.35
433421dfb7f37c978bda2fba25f7c8e4,84,0,3.60
c76c26204fce8c2d7633d6493e1d9231,158,0,2.60
00f279f159cd79ffb678548697f6ab53,7,1,1.70
768ab94a3daa2c34c56fe9be9347cd4f,352,0,3.00
110207bacb0ca0417b3b70b176de0a5a,219,1,1.70
3e68dd3f2fb59cfba3e7e916f89d1d8c,54,0,1.45
999bf7a3988bd2a20a65d624cdd91777,183,0,3.35
cf582a5e8a6c5cb98432c6c28870453d,127,0,2.05
954b262c81aac96242f433765d4a67a9,110,0,1.25
1f1b270a5cdda708d774c09b973d08eb,89,1,4.40
50c8f387b42c3e7c9919ec6b5af8fddf,88,1,3.30
eef0c484af294a45e2b97528749fcfb2,172,0,2.35
59075e479e7a8ea2256e9b7ed944f0fa,68,0,3.00
07249738db038eadeb63614fe29b92c0,183,1,2.85
2839e220aa674db31ad88f81fa817684,25,1,3.90
b177289c3f3b3c56a09cf0f37d2292d5,162,0,1.75
62e256828a5a42cc8f14cbc8db33e04f,79,0,3.75
859cfb627bede1baa30b5c74c0a329a8,8,0,3.45
b7cd104f1718a09b2a00e72f5518f4e9,396,1,2.90
4ce2376bd09b20eaa9ee4c52f7d57c38,255,0,2.42
75ac0524645b5df5f4ecaec61595081a,161,1,4.25
cf5ff2fd099755a659b1806cd690fa10,148,1,3.60
